x1;x2;x3;x4;x5;x6;x7;x8;y
2545;4846;165;131;167;3675;1901;134;53
2257;4372;230;173;327;3188;1557;168;90
27072;84885;421;304;487;35637;9712;263;160
10940;27951;417;335;591;15066;5100;319;123
50912;164528;630;513;952;54653;12704;346;162
28752;47358;802;654;1268;14091;7456;408;202
27216;81908;541;335;540;26869;7760;315;245
2352;5234;232;182;258;4101;1761;181;69
3416;6167;356;298;641;4530;2388;280;119
2149;4120;197;156;219;3302;1640;161;55
53456;93790;1576;995;1469;32646;14912;884;787
2168;3891;211;168;202;2873;1539;171;70
3102;5939;360;288;512;3537;1780;275;119
39344;103050;588;460;695;39304;11392;336;162
100768;220447;2101;1735;2331;59658;18880;885;550
9056;16362;1006;847;1153;9562;5180;740;273
11444;46054;555;418;717;13737;4320;438;233
13544;30235;517;458;667;26622;11760;447;114
37376;68610;1150;808;1341;22100;10880;724;505
1228;2392;-17;17;19;2392;1228;17;0
22984;59040;438;374;542;12716;4968;262;97
1445;2774;217;167;211;1924;1005;154;64
3754;8533;658;640;2085;6838;3224;598;38
8728;17827;2295;2235;2828;15418;7344;2099;101
5990;11123;657;361;512;5057;2628;428;441
4582;9193;454;306;431;3691;1722;305;252
2938;5799;321;243;379;3668;1848;236;122
6692;13092;199;108;141;7549;3336;156;117
2566;5244;384;280;469;3834;1806;266;158
21176;54779;330;228;329;13858;5248;185;163
4012;7955;550;319;477;4625;2218;403;311
1531;2838;212;189;1359;1210;690;143;39
2938;6056;374;283;483;4509;2078;287;126
24720;37240;845;564;850;14475;8120;504;421
2219;4545;287;220;329;3189;1495;221;91
4732;9303;607;352;518;6201;3136;445;342
2225;4239;310;216;289;2570;1389;233;129
2626;4943;316;213;299;3047;1605;244;148
3090;5744;391;257;360;3521;1796;293;185
1101;2548;324;287;2418;1284;704;220;65
2819;5230;318;218;303;3128;1622;240;142
12468;24917;2143;1966;2576;15850;7636;1661;378
12776;21893;785;539;881;13272;7800;575;430
1357;2453;37;37;55;2154;1120;32;0
68896;104952;2624;1326;1952;35707;19840;1354;1626
1711;3174;288;245;339;2226;1118;205;79
1388;2544;224;219;931;2161;1214;172;17
2645;5472;357;315;482;4485;2101;265;72
70144;111745;3216;2628;4782;43671;20608;1542;1136
3674;7221;452;330;487;3832;1890;328;222
9504;19556;1132;1032;1512;16018;7616;981;238
2426;4469;320;237;325;3120;1684;248;148
13872;27468;2664;2570;3395;20198;10432;2252;271
1673;3655;338;324;1619;2598;1469;268;34
1261;2158;37;37;49;1911;1077;33;0
2428;4510;311;238;323;2888;1560;236;139
2227;4070;369;314;430;3227;1702;306;97
1592;2749;370;356;414;2551;1454;327;17
813;1568;323;319;387;1402;695;280;6
32208;57472;1810;1490;2286;56149;31648;1724;458
729;1374;303;298;331;1284;650;262;7
834;1570;399;392;510;1390;704;351;9
786;1573;263;257;318;1401;660;222;8
584;1029;273;271;308;943;511;232;2
15816;30514;2733;2654;3289;23584;11912;2361;232
619;1096;257;254;292;951;516;217;4
617;1071;229;223;265;935;521;191;6
677;1285;251;246;297;1210;615;211;7
677;1240;236;228;264;1098;580;196;9
3366;6647;474;345;495;3180;1674;385;242
747;1443;226;220;287;1252;632;194;10
645;1117;195;192;224;989;554;166;5
754;1510;206;205;252;1430;690;175;3
910;1673;207;201;247;1503;782;176;10
3906;8239;868;863;2632;7736;3768;774;10
659;1158;199;194;239;1041;576;169;10
652;1331;214;206;249;1249;588;182;12
861;1565;214;192;239;1351;717;180;34
3690;7659;424;388;644;6951;3290;377;68
4664;9463;204;182;251;7196;3324;173;48
1080;2427;210;189;249;2195;934;184;39
8896;17202;1480;1426;1932;13838;7020;1292;154
4018;8617;428;374;616;6677;2992;351;100
68992;229733;1032;975;1345;17842;8032;635;202
13152;25666;2543;2438;3179;20547;10280;2278;265
16776;39549;714;440;720;11860;6200;590;447
50736;140432;1462;1450;8308;46252;15552;1275;53
5324;11040;528;483;861;8627;4054;448;96
18120;44940;421;282;463;4401;2616;327;204
2291;3960;303;243;325;3020;1723;253;94
10744;20691;1967;1877;2201;17502;8964;1834;179
3616;6887;111;90;118;4263;2138;93;35
39984;112830;2105;1921;3932;70249;21328;1609;367
4010;7444;477;370;534;4406;2362;354;200
6564;12097;806;602;957;7682;4024;563;454
8612;20151;813;727;1390;16890;7208;630;193
5568;10282;746;545;867;5696;3162;537;387
1685;2999;322;295;424;1794;953;237;70
3756;7094;469;408;613;4935;2556;365;163
2656;4862;390;309;445;3273;1722;309;137
5086;9493;622;509;757;6200;3298;489;252
2055;3915;346;288;412;2970;1507;277;98
9384;14948;757;452;652;11148;7020;604;409
3992;7255;598;447;688;4428;2420;435;282
7512;13633;769;614;951;5503;3260;530;410
11096;21080;1843;1724;2106;16095;8120;1604;288
1060;2004;266;251;337;1705;870;204;18
2790;4879;435;360;513;3501;1999;351;132
13856;37716;519;450;672;26832;9064;389;84
10748;19724;892;498;719;13674;7624;704;557
2522;4583;455;390;547;3031;1674;333;121
4480;8039;572;430;599;5014;2704;416;217
1543;2874;360;334;463;2373;1228;267;38
21256;41906;4840;4754;5906;35455;17592;4318;228
4484;7829;545;424;629;4208;2412;382;225
4398;8105;584;446;669;4799;2616;431;243
13216;24738;2675;2584;2969;19599;10232;2342;189
22304;37159;1805;984;1618;22864;13304;1349;1174
6208;10830;644;473;678;6866;4016;495;276
4518;8533;626;482;729;4215;2254;439;299
3582;6518;537;430;597;3857;2124;404;194
9124;17776;1476;1397;1797;13887;7092;1331;199
14152;38806;631;549;836;19409;6632;404;114
4260;7989;588;435;622;4578;2432;436;271
30624;56950;2080;1956;3253;32033;15744;1376;472
2363;4223;393;348;476;3332;1788;297;90
2232;4005;374;335;458;3247;1740;278;72
4048;7217;544;405;602;4046;2280;368;263
1804;2968;330;280;352;2293;1354;234;67
2351;4028;371;298;392;3112;1791;288;117
3100;5388;518;422;609;3927;2274;367;164
2360;4004;436;365;486;2757;1603;300;119
19648;33643;1359;695;990;24034;13528;1020;818
2295;3721;377;324;402;3121;1882;269;70
3934;6330;512;437;599;5010;3082;384;133
34512;76659;1666;1333;1977;54860;22816;1278;490
5282;8730;703;530;772;5123;3244;470;330
1809;3130;399;359;494;2541;1435;289;73
1920;3124;365;331;428;2541;1519;251;60
1954;3530;356;333;443;3295;1772;252;32
33536;64850;1954;1016;1678;50076;24448;1564;1290
4204;7191;498;408;596;5161;2974;387;166
3376;6557;428;409;631;5700;2806;331;45
9236;16054;1151;1130;1560;14014;7880;1075;70
72864;205934;946;759;1158;122474;30912;646;243
3358;5682;394;323;523;4200;2426;298;132
3254;5644;371;344;513;5069;2846;283;42
50640;121234;2240;1577;2779;92348;34880;1790;931
3734;6218;529;434;794;4831;2868;389;162
2594;4220;347;315;529;3418;2067;248;66
2232;3772;376;322;440;2205;1306;257;98
22120;54734;979;906;1751;46700;17528;796;107
7980;12978;630;398;521;9342;5372;467;287
1659;2845;345;321;424;1604;915;239;50
1006;1594;277;268;354;1055;651;187;15
12728;21685;844;461;683;15779;8844;657;470
28880;64746;1062;991;1971;40181;15808;740;126
1330;2327;363;351;433;1475;827;230;28
14424;26000;304;286;383;25539;14056;291;57
14200;26728;1393;1354;3214;25610;13376;1233;100
5746;9874;769;632;1063;7407;4288;584;271
2540;4372;389;330;458;3655;2063;279;96
4324;7241;548;431;676;4972;3008;401;212
8260;14305;997;953;1211;12905;7360;956;86
20168;35904;3370;3244;5106;26881;15056;2806;404
5046;9084;528;477;906;7723;4184;421;103
15296;25269;2827;2781;3627;22103;13296;2602;121
3414;6369;473;342;525;4518;2390;360;217
95424;252207;699;575;882;78287;22016;417;126
14824;21863;868;591;966;13498;8560;650;456
3504;5699;444;374;497;4487;2730;348;130
2822;5058;424;351;486;3681;2020;327;135
2973;5063;356;297;415;3764;2208;266;114
10824;20573;135;126;153;20030;10384;126;21
4592;6691;320;289;423;3238;2100;222;54
3176;5278;372;319;577;3993;2426;279;120
10956;19279;128;119;130;18838;10564;123;17
10888;19744;913;783;1370;14425;8048;722;294
3594;6316;424;354;530;4319;2468;309;139
3384;6166;451;395;561;4708;2508;344;128
4096;7200;487;406;723;4911;2826;355;186
19968;35161;1016;592;909;26701;14792;757;624
4892;8499;536;460;721;7389;4206;428;144
21872;40413;3872;3822;7327;24667;12920;2218;409
44464;66824;1052;930;1571;22904;14080;559;188
2881;5188;550;503;730;3840;2040;323;88
3460;6503;541;482;667;4371;2260;314;115
3406;5656;571;512;731;4446;2598;355;118
2602;4349;479;444;588;3342;1946;287;68
5848;9068;622;570;795;6651;4212;383;85
26944;43464;877;740;1097;20270;10208;563;234
5292;9321;756;646;1033;5867;3404;516;274
15576;27513;2417;2327;3098;19078;10840;1839;300
54256;82011;1620;963;1419;42128;24224;977;823
3726;6372;602;574;785;4760;2852;399;85
31904;50539;863;770;1106;24010;12992;583;160
40336;65309;1407;1330;2251;27771;14848;907;118
4220;7774;685;597;838;4404;2326;407;203
4666;8360;729;648;1014;5010;2818;459;202
4274;7948;701;638;1020;5936;3164;460;143
28208;41650;964;827;1237;18035;11120;636;290
3330;5461;513;478;652;3675;2196;307;79
3528;5918;550;513;787;4606;2660;360;75
38576;55398;1355;890;1328;17365;12624;827;596
2628;4264;528;503;652;3086;1846;328;55
7232;12735;758;700;1236;8855;4712;471;101
10188;16978;1473;1441;2136;14450;8536;1395;87
6408;11881;909;861;14974;7243;4040;490;195
3414;6050;515;493;710;5005;2704;340;53
53056;65260;2003;1412;2089;23679;17104;975;730
66976;111502;1191;1054;1641;40203;19968;708;269
76096;94644;2889;2495;4596;31096;19744;1276;587
5458;9098;1007;933;1181;5307;3204;537;171
3706;6194;895;884;1173;4700;2726;493;71
18320;31448;3742;3682;7854;25584;14920;3300;148
2316;3611;722;716;862;2545;1529;372;30
139008;277100;1779;1643;2356;107502;38720;1008;271
5854;11854;1043;947;19779;5901;2894;583;218
109056;191324;2552;2457;4906;48765;25024;1353;194
3212;4908;735;720;897;3399;2162;375;49
3046;4909;909;872;1147;3559;2126;477;89
12044;20327;2240;2193;3599;17717;10400;2119;117
9652;16968;1400;1381;2801;15917;8972;1035;39
28112;47721;1631;1537;2438;41207;23440;1225;152
8628;14847;870;843;1692;11970;6796;774;94
2431;4180;389;383;7980;3963;2301;342;18
20560;24112;936;860;1126;5648;3856;460;125
2402;4072;170;145;286;3147;1794;137;67
1729;3289;596;591;735;2888;1406;340;25
4320;7127;753;681;1021;4569;2782;459;172
2585;4410;569;560;781;3802;2144;348;24
3322;5969;610;569;852;4111;2236;375;95
3600;5807;691;656;913;3351;2110;436;93
11620;21564;1160;1138;2042;20024;10568;920;66
4248;7004;724;671;920;5063;3114;501;117
2763;4388;564;523;650;3519;2124;375;72
3558;5396;621;568;775;3708;2392;403;94
8324;14480;840;834;1388;13786;7736;662;15
6952;11469;909;779;1229;7431;4292;646;285
2823;4955;552;503;622;3579;1966;348;89
63840;102620;1382;1229;1871;32470;16480;760;234
11608;15323;985;705;940;8419;5840;594;363
58304;80871;884;715;1034;2289;1408;340;155
4762;8303;842;725;1014;6086;3494;569;238
6150;10217;750;676;969;6253;3742;445;188
4644;8178;768;683;1000;5651;3144;506;184
22464;29650;1029;934;1408;9376;6864;546;163
3754;6295;791;730;1072;4343;2590;482;135
4452;7998;666;658;948;7037;3768;397;25
3576;5525;664;618;870;4229;2672;403;99
3028;4794;579;548;740;3574;2184;349;73
4022;6503;647;616;995;5416;3312;423;82
52736;73584;1635;1622;2824;18580;10144;876;28
47376;70212;1557;1426;2051;22710;13344;697;218
3234;5113;756;724;937;3476;2174;347;75
3322;5553;702;656;863;3484;1968;328;90
6768;11525;768;672;930;7048;4012;408;226
11304;20647;1141;1065;1874;14792;7800;732;235
13544;18474;759;733;1082;7326;4120;408;41
3418;5659;581;546;770;4491;2620;327;59
3662;6476;560;522;677;4930;2660;319;83
3294;5499;526;488;599;4658;2710;305;65
3110;5405;732;712;892;4605;2540;342;45
3806;6486;722;658;880;4955;2772;361;97
3776;6736;577;529;719;4846;2614;371;122
39040;55633;1684;1183;2123;32021;19712;1101;691
4032;7278;684;607;848;4935;2644;432;180
21248;34095;1049;918;1438;11280;6664;536;251
4344;8025;692;626;872;4911;2528;367;134
2718;4698;566;528;663;3601;1992;306;60
3024;5630;596;560;721;4114;2098;341;84
10152;17099;1636;1599;2755;15382;8980;1613;67
4708;8090;678;594;889;4664;2690;390;180
2772;4642;526;479;604;3353;1943;305;83
2812;4954;536;485;672;3382;1853;323;99
6460;11373;823;706;1197;6279;3612;505;313
18056;32576;1062;875;1389;26514;14728;701;390
5016;8745;679;569;966;5904;3322;488;254
3528;6181;470;415;583;4249;2352;322;114
6444;11509;734;625;1157;7910;4136;512;232
4458;7753;491;432;676;5493;3106;340;136
12540;19301;344;322;396;16914;11008;289;63
4362;7378;604;509;767;5681;3216;469;179
38960;65149;2298;1702;3000;57722;34368;1978;948
3144;5067;392;356;507;3586;2148;271;72
4336;7705;574;484;847;5156;2752;403;190
81856;124753;3000;1637;2718;52477;27392;1756;1806
5728;10164;676;587;1049;6890;3714;475;190
5490;9518;647;555;847;6549;3716;476;203
23832;42313;1701;1570;2838;37816;21352;1578;255
18552;25542;1005;676;1021;15973;10584;676;429
4132;7165;552;495;713;4908;2754;398;118
4910;9209;625;561;869;5768;2812;411;188
4202;7633;562;481;730;6173;3298;428;167
5976;10441;689;544;833;7055;4046;487;309
5206;8962;565;492;878;6461;3708;414;174
6984;12066;780;631;1116;8188;4776;570;335
6000;10300;577;539;886;7886;4454;429;99
3332;5797;463;406;552;4347;2330;341;105
9232;16811;908;861;1967;12996;7200;843;166
5212;9035;736;642;1005;6258;3608;597;210
24264;51899;1599;1485;3153;48466;21928;1392;236
4280;7594;624;555;771;4632;2530;497;157
6692;11859;905;742;1165;8391;4692;737;355
5594;9586;739;670;1048;5732;3256;555;189
11336;15350;583;547;724;13876;10160;484;54
5582;9903;708;620;923;6315;3422;557;200
28352;55202;1476;1242;1990;47899;24512;1185;528
17912;34774;2750;2567;6591;21009;11408;2256;587
35360;45260;339;325;477;9105;5472;156;56
9084;15194;962;916;1897;11853;7024;758;121
6880;11736;671;639;889;9389;5232;556;75
12824;18929;830;623;864;15678;10968;705;316
6596;9835;564;526;678;8242;5352;456;79
7492;12414;838;713;1274;8452;5024;670;295
44288;60918;1215;1105;1746;22130;14224;814;165
128064;251269;1539;1408;2506;84046;32384;985;212
5994;9970;964;838;1254;6896;3998;683;280
6172;10417;718;684;906;7692;4234;508;87
4986;8198;662;614;788;5685;3230;469;122
6668;10701;669;642;943;7956;4696;492;69
5298;8875;657;575;874;5640;3206;471;183
35008;45508;621;597;768;8149;4864;389;56
5402;8891;700;633;1078;6733;3992;514;126
9880;12695;524;497;658;7072;4732;382;40
3334;5953;584;565;842;4954;2604;440;44
3130;5313;522;495;616;3821;2112;385;62
32208;55696;1933;1367;2123;43980;24720;1568;881
20920;26026;705;642;913;13546;9768;538;115
3884;6406;518;483;597;4747;2686;392;71
4240;7057;601;542;730;5026;2868;461;138
3544;6156;509;482;701;5011;2746;387;58
3286;6276;504;458;633;4010;2162;376;115
71360;110172;1784;1732;3383;47977;25888;1103;97
3824;6333;666;627;822;4447;2604;462;90
6360;11079;715;631;1028;6661;3864;505;225
3714;6385;537;481;645;4441;2512;395;122
46192;80227;1364;1096;1697;32842;16960;762;376
39568;47128;741;652;957;22022;16096;519;149
70912;94172;1374;1106;1267;42338;27232;788;420
4552;7253;471;444;569;4440;2664;316;77
4390;7004;484;453;602;4607;2862;347;90
4770;7716;494;455;632;5040;3114;344;124
2970;4649;421;390;544;3346;2044;301;67
34192;42092;338;322;389;22907;16464;230;44
5302;8769;624;566;979;6021;3606;441;168
5560;9301;642;586;984;6600;3916;463;173
4406;6769;477;433;571;4550;2830;335;91
5290;8132;612;570;857;6032;3794;454;104
3696;5824;517;474;742;4166;2650;391;81
6030;9579;735;659;1448;6956;4418;572;208
9120;14759;951;937;1290;13246;8004;924;34
1874;2474;25;25;31;1483;1062;15;0
4122;7073;466;455;609;5827;3302;361;39
5080;8238;523;505;727;6630;3892;403;53
4068;7333;538;513;934;5914;3198;402;74
3272;6079;463;446;653;5079;2644;357;39
238;570;143;142;834;567;236;99;2
3358;5900;541;507;4550;4650;2800;344;120
6400;11941;735;726;8415;10987;5916;628;38
6876;10885;282;245;337;9403;5752;259;85
391;746;131;130;766;723;380;93;7
10844;22468;1409;1339;11064;18310;8848;1086;230
5132;9067;398;398;1690;9065;5132;393;2
3772;6971;144;144;1033;6932;3758;140;3
2933;5144;24;23;26;3972;2012;19;6
4094;7469;206;203;1420;7451;4088;200;4
452;726;186;184;889;721;450;114;5
11420;23855;1411;1342;8049;16634;8032;865;237
5704;10510;452;450;2895;9348;5388;361;17
7192;12811;587;554;3941;11519;6616;472;110
9604;16557;1061;1037;9614;13618;7984;705;143
122944;457509;1373;1268;2106;72846;13184;475;149
5730;10083;103;71;97;8964;4830;92;49
4898;7960;560;528;719;6380;3730;363;86
4118;7355;546;526;675;6423;3466;379;36
1845;2670;9;9;9;1614;1008;9;0
34480;191207;1591;1156;1926;184270;30720;1292;771
5338;9940;589;556;715;8146;3920;363;73
5312;9411;603;582;795;7034;3588;345;68
4412;8070;711;678;926;6937;3478;346;63
7220;12735;2348;2300;3311;9837;5296;642;118
14320;21958;1850;1819;2170;9579;4664;413;67
27056;162816;2299;2127;2737;160270;25424;1146;266
20528;33000;1876;1800;2654;14636;7632;656;172
6416;11459;1362;1313;1652;9122;4716;497;125
5786;10634;1237;1218;1526;9103;4764;483;68
5878;10508;1132;1087;1380;8471;4528;446;128
9528;16535;1383;1288;1834;11276;6260;630;282
8500;14157;1095;1029;1422;9670;5640;465;217
3796;6737;949;940;1192;5249;2694;398;29
28128;42940;2283;2190;3400;9183;4560;621;178
7228;12627;1239;1189;1612;9781;5348;606;165
5290;9100;1053;994;1326;6285;3578;441;163
5880;10115;1291;1264;1878;8536;4884;706;95
10040;17029;1429;1346;2022;11744;6964;742;311
153536;497910;1713;1633;2493;8907;5696;593;176
158208;453213;2482;2319;3412;81938;20608;1034;313
6484;10832;1166;1115;1441;7316;4280;583;170
4840;7466;949;923;1116;5362;3370;447;71
15880;51571;1188;1071;1410;47976;13560;677;238
15288;31467;1573;1401;2110;28247;13312;1052;305
9528;16779;1245;1175;1725;11885;6672;729;264
9356;14986;448;381;505;13919;8460;392;131
7732;13264;1066;1002;1336;8753;4880;570;224
5240;8893;857;837;1020;7420;4232;466;61
7132;12060;1004;944;1226;8294;4736;576;182
21928;39641;1512;1479;1837;6338;3672;497;86
5754;9238;1179;1143;1452;6101;3546;420;84
37088;10966;2728;2288;3183;66311;34352;2021;633
39600;7927;572;496;581;12522;8176;167;107
5536;8745;1141;1099;1461;5225;3098;483;106
6056;10325;1117;1078;1427;6823;3788;487;127
11484;20696;1762;1635;2741;8774;5124;722;515
4938;7910;66;63;70;6625;3804;59;7
66784;9456;2969;2833;3645;17809;11328;801;226
5526;8779;1096;1058;1399;5732;3412;453;97
5040;8367;1062;1023;1348;5485;3068;437;108
5168;8371;66;59;71;7041;3996;58;14
5034;8030;1020;993;1243;5340;3094;440;83
4908;7491;957;937;1153;4642;2842;393;66
9700;17442;1407;1271;2007;8872;4876;660;378
4800;7754;975;938;1278;4932;2820;432;103
5280;8703;951;911;1237;5757;3300;431;110
6184;10228;956;901;1140;6085;3502;437;152
45920;5808;753;655;763;15766;10720;220;137
8412;13960;1179;1111;1632;8632;5348;699;257
5400;9218;810;756;1003;5654;3230;422;176
4684;7536;733;708;985;4750;2876;392;84
3480;6229;537;508;687;3961;2104;301;75
3778;7216;625;572;795;4742;2388;363;115
4156;7564;626;574;832;4534;2452;370;136
4188;7292;564;524;743;3861;2200;316;119
